                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.67877,                0.50545,                0.97407,                 0.9677,                0.96939,                0.97934,                0.85567,                0.58263,                0.42905,                0.92173,               0.001538,               0.001538,               0.001538
                     37,                0.65403,                0.50685,                0.98037,                0.94941,                 0.9574,                0.97876,                0.87802,                0.51313,                 0.4109,                 0.8893,              0.0015248,              0.0015248,              0.0015248
                     38,                0.64639,                0.47598,                0.98763,                0.94987,                0.96681,                0.97602,                0.86272,                0.56859,                0.45256,                0.90371,              0.0015116,              0.0015116,              0.0015116
                     39,                  0.629,                0.46569,                0.96451,                  0.969,                0.95692,                0.98131,                0.86297,                0.57745,                 0.4155,                0.92671,              0.0014984,              0.0014984,              0.0014984
                     40,                0.64789,                0.45861,                0.98219,                0.96843,                0.93898,                0.98091,                0.87799,                0.54284,                0.40938,                0.90498,              0.0014852,              0.0014852,              0.0014852
                     41,                0.64276,                0.45658,                0.95503,                0.96556,                0.95918,                0.98617,                0.86299,                0.56088,                0.42612,                0.90229,               0.001472,               0.001472,               0.001472
                     42,                0.65545,                0.45591,                0.97189,                0.98925,                 0.9386,                0.98371,                0.84799,                0.56917,                0.42581,                 0.9109,              0.0014588,              0.0014588,              0.0014588
                     43,                0.65328,                  0.452,                0.98045,                0.96726,                0.96939,                0.98955,                 0.8712,                 0.5579,                0.41912,                0.90936,              0.0014456,              0.0014456,              0.0014456
                     44,                  0.621,                0.45848,                0.96863,                0.99968,                0.96939,                 0.9868,                0.87304,                0.52549,                 0.3997,                0.90643,              0.0014324,              0.0014324,              0.0014324
                     45,                0.64496,                0.46133,                0.94382,                0.98913,                0.96939,                0.99282,                 0.8873,                0.50421,                0.38119,                 0.8782,              0.0014192,              0.0014192,              0.0014192
                     46,                0.63959,                0.47782,                0.97132,                0.97955,                0.97752,                0.98486,                0.87003,                  0.538,                0.40208,                0.90628,               0.001406,               0.001406,               0.001406
                     47,                0.63184,                0.44487,                0.96581,                0.97682,                0.96939,                0.98118,                0.85354,                 0.5949,                0.44073,                0.91393,              0.0013928,              0.0013928,              0.0013928
                     48,                0.64065,                0.45003,                0.96051,                0.96594,                0.96939,                0.98399,                0.85217,                0.55126,                0.41815,                0.92054,              0.0013796,              0.0013796,              0.0013796
                     49,                0.60087,                0.41889,                0.94958,                0.96759,                0.96939,                0.97873,                0.87899,                0.49743,                 0.4234,                0.88526,              0.0013664,              0.0013664,              0.0013664
                     50,                0.60279,                0.41161,                0.94906,                0.98439,                0.95918,                0.98523,                 0.8891,                0.47686,                0.39088,                0.88624,              0.0013532,              0.0013532,              0.0013532
                     51,                0.57797,                0.42943,                 0.9439,                0.97936,                0.96843,                0.97701,                0.88294,                0.50037,                0.40845,                0.87846,                0.00134,                0.00134,                0.00134
                     52,                0.60262,                0.42225,                0.96493,                0.97659,                0.95918,                0.98467,                0.87406,                0.52205,                0.42872,                0.87442,              0.0013268,              0.0013268,              0.0013268
                     53,                0.55911,                0.41238,                0.90636,                 0.9762,                0.95918,                0.98368,                0.88161,                0.50157,                0.40255,                0.88444,              0.0013136,              0.0013136,              0.0013136
                     54,                0.57467,                0.41649,                0.94026,                0.98942,                0.95464,                0.98161,                0.88028,                0.48433,                0.38854,                0.87813,              0.0013004,              0.0013004,              0.0013004
                     55,                0.57692,                0.39759,                0.94652,                0.97932,                0.96646,                0.98549,                0.87935,                0.49825,                 0.3807,                0.88628,              0.0012872,              0.0012872,              0.0012872
                     56,                0.60269,                0.43278,                0.92531,                0.96928,                0.96577,                0.98037,                0.87065,                0.53197,                0.39876,                0.89205,               0.001274,               0.001274,               0.001274
