                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87231,                  1.734,                 1.0396,                0.78203,                0.62236,                0.72502,                0.53064,                0.98513,                 1.8628,                 1.0958,             0.00065766,             0.00065766,             0.00065766
                      2,                 0.9746,                 1.2491,                 1.1071,                0.00412,                0.41837,                0.00281,                0.00167,                 1.9561,                 195.37,                 2.6906,                0.00132,                0.00132,                0.00132
                      3,                 1.0552,                 1.0988,                    1.2,                0.15626,                0.12245,                 0.0309,                0.02043,                 2.8431,                 5.4916,                 3.7273,              0.0019779,              0.0019779,              0.0019779
                      4,                 1.0453,                0.94931,                 1.1515,                0.00079,                 0.0102,                0.00041,                0.00029,                 3.2055,                 9.7576,                  3.724,              0.0019802,              0.0019802,              0.0019802
                      5,                 1.0517,                0.87872,                 1.1857,                0.80442,                0.59184,                 0.6869,                 0.5085,                 1.0603,                 1.8966,                 1.3181,              0.0019736,              0.0019736,              0.0019736
                      6,                 1.0161,                0.90308,                 1.1639,                0.85135,                0.55102,                0.60198,                0.44705,                 1.2593,                 1.5647,                 1.4502,               0.001967,               0.001967,               0.001967
                      7,                0.94461,                0.78082,                 1.1194,                0.92364,                0.79592,                  0.866,                0.65698,                0.93965,                0.84366,                 1.1035,              0.0019604,              0.0019604,              0.0019604
                      8,                0.93848,                0.78432,                  1.118,                0.98229,                0.91837,                0.95415,                0.75976,                0.87439,                 0.7564,                 1.0725,              0.0019538,              0.0019538,              0.0019538
                      9,                0.93728,                0.78879,                 1.1398,                0.95614,                0.85714,                0.89814,                0.73541,                0.81708,                0.83371,                 1.0431,              0.0019472,              0.0019472,              0.0019472
                     10,                0.88811,                0.72144,                 1.0825,                0.94305,                0.95918,                0.98454,                0.77093,                0.77656,                0.62555,                 1.0395,              0.0019406,              0.0019406,              0.0019406
                     11,                0.88948,                0.72474,                  1.095,                0.94327,                0.84838,                0.92103,                0.73793,                0.82017,                0.82664,                 1.0808,               0.001934,               0.001934,               0.001934
                     12,                0.86305,                0.70021,                 1.1069,                0.97969,                0.89796,                0.94615,                 0.7711,                0.70612,                0.64869,                 1.0204,              0.0019274,              0.0019274,              0.0019274
                     13,                0.81033,                0.65466,                 1.0752,                0.96646,                0.88216,                 0.9219,                 0.7539,                0.70448,                0.70122,                0.98829,              0.0019208,              0.0019208,              0.0019208
                     14,                0.82103,                0.68796,                 1.0698,                 0.9586,                0.94503,                0.96204,                0.78442,                0.75102,                0.60997,                 1.0303,              0.0019142,              0.0019142,              0.0019142
                     15,                0.82603,                0.66882,                 1.0815,                0.94784,                0.74174,                0.83151,                0.65513,                0.82723,                0.95487,                 1.0876,              0.0019076,              0.0019076,              0.0019076
                     16,                0.86121,                0.66599,                 1.1019,                 0.9492,                0.76266,                0.82195,                0.68442,                0.79225,                 0.7991,                 1.0478,               0.001901,               0.001901,               0.001901
                     17,                0.79932,                0.63724,                 1.0424,                0.96518,                0.92857,                0.97442,                0.83861,                0.63148,                0.52377,                0.96032,              0.0018944,              0.0018944,              0.0018944
                     18,                  0.796,                0.61228,                 1.0361,                0.97814,                 0.9133,                0.97349,                0.82641,                0.66074,                 0.5741,                0.97262,              0.0018878,              0.0018878,              0.0018878
                     19,                0.80684,                0.62822,                 1.0451,                0.98924,                0.93845,                0.96952,                0.82823,                0.65568,                0.51919,                0.97372,              0.0018812,              0.0018812,              0.0018812
